MJD,ABmag,emag,band
55084.6734,22.128000000000004,0.28800000000000003,UVW1
55084.6756,21.243,0.34600000000000003,U
55084.6799,22.844,0.268,UVW2
55084.6858,22.498000000000005,0.295,UVM2
56147.23,18.42,0.01,B
56147.23,18.57,0.05,I
56147.23,18.43,0.03,R
56147.23,18.33,0.01,U
56147.23,18.45,0.04,V
56148.41,18.67,0.08,R
56150.4,18.44,0.05,R
56157.26,17.15,0.1,B
56157.26,17.55,0.16,H
56157.26,17.18,0.11,I
56157.26,17.23,0.18,J
56157.26,18.450000000000003,0.22,KS
56157.26,17.07,0.06,R
56157.26,17.33,0.22,U
56157.26,17.07,0.11,V
56164.28,17.150000000000002,0.02,R
56165.09,16.79,0.01,B
56165.09,16.98,0.02,I
56165.09,16.82,0.02,R
56165.09,16.88,0.01,U
56165.09,16.86,0.02,V
56165.3,17.5,0.12,H
56165.3,17.16,0.1,J
56165.3,17.73,0.15,KS
56166.15,16.93,0.01,B
56166.15,17.029999999999998,0.03,I
56166.15,16.94,0.03,R
56166.15,17.029999999999998,0.01,U
56166.15,16.95,0.01,V
56168.04,16.77,0.05,R
56170.04,16.93,0.01,B
56170.04,16.93,0.08,I
56170.04,16.75,0.05,R
56170.04,17.11,0.02,U
56170.04,16.86,0.02,V
56171.1,16.830000000000002,0.03,B
56171.1,16.939999999999998,0.05,I
56171.1,16.73,0.04,R
56171.1,16.79,0.03,V
56172.12,16.93,0.08,B
56172.12,16.86,0.04,I
56172.12,16.78,0.04,R
56172.12,16.75,0.02,V
56174.8738,16.903,0.174,V
56174.8947,18.619000000000003,0.073,UVW1
56174.8975,17.285999999999998,0.065,U
56174.8994,17.239,0.064,B
56174.9,17.2,0.04,B
56174.9,17.279999999999998,0.04,U
56174.9,18.71,0.05,UVW1
56174.9,19.73,0.08,UVW2
56174.9,17.03,0.02,V
56174.9004,19.605999999999998,0.095,UVW2
56175.07,17.22,0.06,B
56175.07,17.22,0.03,I
56175.07,17.03,0.03,R
56175.07,17.509999999999998,0.03,U
56175.07,17.11,0.04,V
56175.35,17.24,0.1,I
56175.35,16.990000000000002,0.07,R
56175.35,17.009999999999998,0.07,V
56176.06,17.25,0.06,B
56176.06,17.15,0.05,I
56176.06,17.060000000000002,0.04,R
56176.06,17.099999999999998,0.03,V
56176.6338,18.501,0.084,UVW1
56176.6349,17.270999999999997,0.08,U
56176.6355,17.176,0.08,B
56176.6373,19.663,0.10300000000000001,UVW2
56176.639,17.296,0.12300000000000001,V
56176.64,17.24,0.07,B
56176.64,17.3,0.06,U
56176.64,19.64,0.08,UVM2
56176.64,18.57,0.07,UVW1
56176.64,19.75,0.08,UVW2
56176.64,17.25,0.12,V
56176.6416,19.434,0.092,UVM2
56177.03,17.01,0.08,R
56177.1,17.18,0.12,U
56178.03,17.67,0.13,H
56178.03,17.38,0.13,J
56178.03,17.77,0.18,KS
56179.1,17.67,0.12,H
56179.1,17.37,0.1,J
56179.1,17.87,0.15,KS
56180.03,17.0,0.1,R
56181.17,17.02,0.07,I
56181.17,16.79,0.04,R
56181.17,17.0,0.05,V
56183.4351,19.631,0.115,UVW1
56183.4368,18.074,0.09699999999999999,U
56183.4375,17.583,0.08800000000000001,B
56183.4388,20.955000000000002,0.157,UVW2
56183.44,17.64,0.08,B
56183.44,18.099999999999998,0.07,U
56183.44,20.73,0.16,UVM2
56183.44,19.8,0.12,UVW1
56183.44,21.11,0.32,UVW2
56183.44,17.849999999999998,0.14,V
56183.4416,17.641,0.138,V
56183.4432,20.64,0.136,UVM2
56188.04,17.87,0.1,R
56190.75,18.41,0.17,B
56190.75,18.7,0.13,U
56190.75,20.810000000000002,0.24,UVW1
56190.7505,20.649,0.20800000000000002,UVW1
56190.7526,18.637999999999998,0.135,U
56190.7534,18.423,0.17600000000000002,B
56192.7422,21.953,0.248,UVM2
56192.7563,20.717000000000002,0.14800000000000002,UVW1
56192.7591,18.718,0.083,U
56192.76,18.15,0.06,B
56192.76,18.7,0.07,U
56192.76,22.21,0.32,UVM2
56192.76,20.87,0.23,UVW1
56192.76,22.31,0.26,UVW2
56192.76,18.19,0.07,V
56192.761,18.117,0.075,B
56192.7657,22.127000000000002,0.191,UVW2
56192.7708,18.012999999999998,0.08800000000000001,V
56192.96,18.14,0.04,B
56192.96,18.029999999999998,0.06,I
56192.96,17.79,0.09,R
56192.96,18.75,0.02,U
56192.96,18.02,0.04,V
56193.09,18.13,0.07,B
56193.09,18.54,0.18,H
56193.09,17.93,0.07,I
56193.09,18.080000000000002,0.12,J
56193.09,18.71,0.17,KS
56193.09,17.82,0.06,R
56193.09,17.99,0.04,V
56193.6,17.77,0.1,I
56194.08,18.05,0.06,B
56194.08,17.9,0.06,I
56194.08,17.740000000000002,0.06,R
56194.08,17.86,0.03,V
56194.16,17.330000000000002,0.06,R
56194.16,17.79,0.08,V
56194.59,16.98,0.07,I
56194.59,16.53,0.05,R
56195.13,15.879999999999999,0.04,I
56195.13,15.690000000000001,0.05,R
56195.13,15.639999999999999,0.02,V
56195.2,15.479999999999999,0.12,I
56195.51,15.489999999999998,0.06,I
56195.51,15.21,0.03,R
56196.07,14.93,0.06,V
56196.1,15.12,0.04,I
56196.1,14.860000000000001,0.03,R
56196.1,14.86,0.02,V
56196.23,14.69,0.04,B
56196.23,14.219999999999999,0.04,U
56196.23,14.51,0.06,UVM2
56196.23,14.51,0.05,UVW1
56196.23,14.58,0.07,UVW2
56196.23,14.92,0.04,V
56196.3371,14.49,0.04,UVW1
56196.3388,14.186,0.04,U
56196.3397,14.657,0.043,B
56196.342,14.558,0.04,UVW2
56196.3446,14.877,0.054000000000000006,V
56196.3477,14.433,0.04,UVM2
56196.48,15.01,0.05,I
56196.48,14.73,0.05,R
56197.07,14.899999999999999,0.13,I
56197.07,14.61,0.08,V
56197.13,14.84,0.04,I
56197.13,14.58,0.03,R
56197.13,14.54,0.02,V
56197.45,14.29,0.04,UVW1
56197.45,14.34,0.04,UVW2
56197.4572,14.383,0.04,UVW2
56197.4705,14.247,0.04,UVW1
56197.53,14.78,0.08,I
56197.6986,14.136,0.04,UVW1
56197.7,14.31,0.04,B
